method,layer,hidden_cosine
fp16_reference,all,1.0
bnb_nf4_double_quant,0,1.0000014781951905
bnb_nf4_double_quant,1,0.9972972750663758
bnb_nf4_double_quant,2,0.9948097825050354
bnb_nf4_double_quant,3,0.9998328208923339
bnb_nf4_double_quant,4,0.9998283624649048
bnb_nf4_double_quant,5,0.9998204112052917
bnb_nf4_double_quant,6,0.9998119354248047
bnb_nf4_double_quant,7,0.9998021245002746
bnb_nf4_double_quant,8,0.9997870326042175
bnb_nf4_double_quant,9,0.9997708678245545
bnb_nf4_double_quant,10,0.999757719039917
bnb_nf4_double_quant,11,0.9997408628463745
bnb_nf4_double_quant,12,0.9997243881225586
bnb_nf4_double_quant,13,0.9997075915336608
bnb_nf4_double_quant,14,0.9996830463409424
bnb_nf4_double_quant,15,0.9996594905853271
bnb_nf4_double_quant,16,0.9996086239814759
bnb_nf4_double_quant,17,0.9995276093482971
bnb_nf4_double_quant,18,0.9993990302085877
bnb_nf4_double_quant,19,0.9991754531860352
bnb_nf4_double_quant,20,0.9988137245178222
bnb_nf4_double_quant,21,0.9982669949531555
bnb_nf4_double_quant,22,0.8988394737243652
vq_2bit_window_meta,0,1.0000014781951905
vq_2bit_window_meta,1,0.9321726441383362
vq_2bit_window_meta,2,0.8673568844795227
vq_2bit_window_meta,3,0.9650860905647278
vq_2bit_window_meta,4,0.9650259971618652
vq_2bit_window_meta,5,0.9649111986160278
vq_2bit_window_meta,6,0.9647543668746948
vq_2bit_window_meta,7,0.9646144509315491
vq_2bit_window_meta,8,0.9637335777282715
vq_2bit_window_meta,9,0.9634371042251587
vq_2bit_window_meta,10,0.9631174325942993
vq_2bit_window_meta,11,0.9625858783721923
vq_2bit_window_meta,12,0.9622134804725647
vq_2bit_window_meta,13,0.9613478899002075
vq_2bit_window_meta,14,0.9605766415596009
vq_2bit_window_meta,15,0.9593955397605896
vq_2bit_window_meta,16,0.9566290378570557
vq_2bit_window_meta,17,0.95313800573349
vq_2bit_window_meta,18,0.9476554036140442
vq_2bit_window_meta,19,0.9372259974479675
vq_2bit_window_meta,20,0.9216324090957642
vq_2bit_window_meta,21,0.9004141449928283
vq_2bit_window_meta,22,0.3010474681854248
ovq_2bit_group_meta,0,1.0000014781951905
ovq_2bit_group_meta,1,0.9666369199752808
ovq_2bit_group_meta,2,0.9202113032341004
